,crime_nb,precinct,zipcode
0,1281,100,11693
1,1957,101,11691
2,3144,102,11418
3,3684,103,11432
4,3195,104,11385
5,3105,105,11428
6,2978,106,11417
7,2265,107,11365
8,2568,108,11105
9,4586,109,11354
10,2205,10,10011
11,4336,110,11368
12,1431,111,11361
13,2140,112,11375
14,3701,113,11434
15,4668,114,11103
16,4056,115,11372
17,2943,120,10301
18,3032,121,None
19,1894,122,10306
20,1035,123,10307
21,4437,13,10010
22,1756,17,10017
23,3749,19,10021
24,3255,1,10013
25,2363,20,10020
26,2583,23,10029
27,2377,24,10025
28,2845,25,10035
29,1445,26,10027
30,2378,28,10027
31,1734,30,10028
32,2516,32,10030
33,1911,33,10031
34,2427,34,10033
35,4884,40,10454
36,3169,41,10459
37,3329,42,10452
38,5687,43,10472
39,5550,44,10452
40,2959,45,10465
41,4192,46,10457
42,4161,47,10466
43,3772,48,10457
44,2955,49,10461
45,2212,50,10463
46,5081,52,10467
47,2236,5,10013
48,3120,60,11224
49,3165,61,11223
50,2798,62,11214
51,2509,63,11210
52,2390,66,11218
53,4538,67,11226
54,2043,68,11220
55,2233,69,11236
56,3128,6,10011
57,3935,70,11230
58,3199,71,11225
59,2490,72,11232
60,4273,73,11212
61,8056,75,11208
62,1390,76,11231
63,3478,77,11213
64,2371,78,11217
65,3946,79,11211
66,1717,7,10002
67,2996,81,11221
68,3659,83,11237
69,2910,84,11201
70,2332,88,11205
71,3669,90,11211
72,2085,94,11222
73,3059,9,10003
74,188,CPP,10024
75,5036,MNP,10019
76,7460,MSP,10001
